Designator,Mid X,Mid Y,Rotation,Layer
C2,90.0,-55.0,90.0,top
C3,73.0,-55.0,90.0,top
C4,81.5,-51.5,90.0,top
C5,76.5,-51.0,90.0,top
C6,82.0,-45.0,180.0,top
C7,90.5,-45.0,0.0,top
C8,69.5,-24.0,180.0,top
C9,69.0,-26.0,180.0,top
D2,74.5,-59.68,90.0,top
FB1,79.0,-51.0,270.0,top
FB2,74.0,-50.5,270.0,top
J1,80.5,-58.23,0.0,top
J2,96.0,-42.0,0.0,bottom
J3,65.0,-42.0,0.0,bottom
R2,87.5,-54.0,90.0,top
R3,77.0,-47.5,180.0,top
R4,69.0,-54.5,270.0,top
SW1,89.0,-59.5,90.0,top
SW2,72.0,-59.5,90.0,top
U2,85.0,-51.0,270.0,top
U3,85.9375,-46.05,180.0,top
U4,80.75,-31.41,0.0,top
